"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","test_part","xClicked","yClicked","responseInd","nameID"
"","null","html-keyboard-response","184","338847","0.0-3.0-0.89","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2251","name-keyboard-response","185","341104","0.0-3.0-1.89","","","Probe","1067","371","3","84"
"","null","html-keyboard-response","186","342105","0.0-3.0-0.90","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2008","name-keyboard-response","187","344118","0.0-3.0-1.90","","","Probe","1067","240","1","5"
"","null","html-keyboard-response","188","345120","0.0-3.0-0.91","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2024","name-keyboard-response","189","347155","0.0-3.0-1.91","","","Probe","1073","161","0","44"
"","null","html-keyboard-response","190","348157","0.0-3.0-0.92","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1738","name-keyboard-response","191","349899","0.0-3.0-1.92","","","Probe","1044","245","1","173"
"","null","html-keyboard-response","192","350907","0.0-3.0-0.93","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1936","name-keyboard-response","193","352848","0.0-3.0-1.93","","","Probe","1058","398","3","72"
"","null","html-keyboard-response","194","353849","0.0-3.0-0.94","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2323","name-keyboard-response","195","356178","0.0-3.0-1.94","","","Probe","1031","245","1","8"
"","null","html-keyboard-response","196","357180","0.0-3.0-0.95","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3947","name-keyboard-response","197","361139","0.0-3.0-1.95","","","Probe","1023","376","3","85"
"","null","html-keyboard-response","198","362140","0.0-3.0-0.96","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1627","name-keyboard-response","199","363770","0.0-3.0-1.96","","","Probe","1048","129","0","50"
"","null","html-keyboard-response","200","364771","0.0-3.0-0.97","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3056","name-keyboard-response","201","367833","0.0-3.0-1.97","","","Probe","1058","145","0","42"
"","null","html-keyboard-response","202","368841","0.0-3.0-0.98","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2203","name-keyboard-response","203","371049","0.0-3.0-1.98","","","Probe","1049","215","1","26"
"","null","html-keyboard-response","204","372051","0.0-3.0-0.99","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2021","name-keyboard-response","205","374074","0.0-3.0-1.99","","","Probe","1076","160","0","57"
"","null","html-keyboard-response","206","375076","0.0-3.0-0.100","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3956","name-keyboard-response","207","379039","0.0-3.0-1.100","","","Probe","1081","456","4","158"
"","null","html-keyboard-response","208","380042","0.0-3.0-0.101","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2426","name-keyboard-response","209","382487","0.0-3.0-1.101","","","Probe","1022","286","2","114"
"","null","html-keyboard-response","210","383488","0.0-3.0-0.102","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2249","name-keyboard-response","211","385744","0.0-3.0-1.102","","","Probe","1047","384","3","81"
"","null","html-keyboard-response","212","386745","0.0-3.0-0.103","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3278","name-keyboard-response","213","390031","0.0-3.0-1.103","","","Probe","1043","224","1","14"
"","null","html-keyboard-response","214","391038","0.0-3.0-0.104","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1797","name-keyboard-response","215","392840","0.0-3.0-1.104","","","Probe","1052","386","3","71"
"","null","html-keyboard-response","216","393841","0.0-3.0-0.105","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3135","name-keyboard-response","217","396982","0.0-3.0-1.105","","","Probe","1049","162","0","63"
"","null","html-keyboard-response","218","397982","0.0-3.0-0.106","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1502","name-keyboard-response","219","399488","0.0-3.0-1.106","","","Probe","1070","288","2","115"
"","null","html-keyboard-response","220","400489","0.0-3.0-0.107","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2212","name-keyboard-response","221","402706","0.0-3.0-1.107","","","Probe","1071","617","6","126"
"","null","html-keyboard-response","222","403708","0.0-3.0-0.108","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2057","name-keyboard-response","223","405778","0.0-3.0-1.108","","","Probe","1052","378","3","73"
"","null","html-keyboard-response","224","406780","0.0-3.0-0.109","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","9927","name-keyboard-response","225","416718","0.0-3.0-1.109","","","Probe","1105","704","7","171"
"","null","html-keyboard-response","226","417720","0.0-3.0-0.110","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1925","name-keyboard-response","227","419660","0.0-3.0-1.110","","","Probe","1088","459","4","153"
"","null","html-keyboard-response","228","420661","0.0-3.0-0.111","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","5203","name-keyboard-response","229","425874","0.0-3.0-1.111","","","Probe","1041","143","0","34"
"","null","html-keyboard-response","230","426875","0.0-3.0-0.112","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2668","name-keyboard-response","231","429550","0.0-3.0-1.112","","","Probe","1087","605","6","134"
"","null","html-keyboard-response","232","430550","0.0-3.0-0.113","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","4291","name-keyboard-response","233","434851","0.0-3.0-1.113","","","Probe","1116","701","7","164"
"","null","html-keyboard-response","234","435853","0.0-3.0-0.114","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3176","name-keyboard-response","235","439044","0.0-3.0-1.114","","","Probe","1050","124","0","37"
"","null","html-keyboard-response","236","440046","0.0-3.0-0.115","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","6326","name-keyboard-response","237","446382","0.0-3.0-1.115","","","Probe","1063","697","7","163"
"","null","html-keyboard-response","238","447383","0.0-3.0-0.116","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2060","name-keyboard-response","239","449450","0.0-3.0-1.116","","","Probe","1071","389","3","70"
"","null","html-keyboard-response","240","450451","0.0-3.0-0.117","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2300","name-keyboard-response","241","452757","0.0-3.0-1.117","","","Probe","1056","633","6","130"
"","null","html-keyboard-response","242","453758","0.0-3.0-0.118","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1535","name-keyboard-response","243","455306","0.0-3.0-1.118","","","Probe","1041","303","2","120"
"","null","html-keyboard-response","244","456306","0.0-3.0-0.119","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1778","name-keyboard-response","245","458089","0.0-3.0-1.119","","","Probe","1056","152","0","43"
"","null","html-keyboard-response","246","459090","0.0-3.0-0.120","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2210","name-keyboard-response","247","461307","0.0-3.0-1.120","","","Probe","1039","476","4","142"
"","null","html-keyboard-response","248","462308","0.0-3.0-0.121","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1535","name-keyboard-response","249","463848","0.0-3.0-1.121","","","Probe","1017","156","0","51"
"","null","html-keyboard-response","250","464850","0.0-3.0-0.122","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1357","name-keyboard-response","251","466220","0.0-3.0-1.122","","","Probe","1014","300","2","104"
"","null","html-keyboard-response","252","467222","0.0-3.0-0.123","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3428","name-keyboard-response","253","470655","0.0-3.0-1.123","","","Probe","1055","686","7","157"
"","null","html-keyboard-response","254","471657","0.0-3.0-0.124","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2030","name-keyboard-response","255","473693","0.0-3.0-1.124","","","Probe","1043","531","5","160"
"","null","html-keyboard-response","256","474694","0.0-3.0-0.125","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2941","name-keyboard-response","257","477643","0.0-3.0-1.125","","","Probe","1034","206","1","13"
"","null","html-keyboard-response","258","478644","0.0-3.0-0.126","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1488","name-keyboard-response","259","480136","0.0-3.0-1.126","","","Probe","1044","300","2","106"
"","null","html-keyboard-response","260","481136","0.0-3.0-0.127","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1696","name-keyboard-response","261","482836","0.0-3.0-1.127","","","Probe","1098","473","4","145"
"","null","html-keyboard-response","262","483837","0.0-3.0-0.128","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1865","name-keyboard-response","263","485717","0.0-3.0-1.128","","","Probe","1071","131","0","46"
"","null","html-keyboard-response","264","486719","0.0-3.0-0.129","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1817","name-keyboard-response","265","488541","0.0-3.0-1.129","","","Probe","1085","385","3","76"
"","null","html-keyboard-response","266","489552","0.0-3.0-0.130","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","4676","name-keyboard-response","267","494237","0.0-3.0-1.130","","","Probe","1092","553","5","159"
"","null","html-keyboard-response","268","495257","0.0-3.0-0.131","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2617","name-keyboard-response","269","497878","0.0-3.0-1.131","","","Probe","1054","146","0","61"
"","null","html-keyboard-response","270","498879","0.0-3.0-0.132","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1818","name-keyboard-response","271","500701","0.0-3.0-1.132","","","Probe","1082","378","3","75"
"","null","html-keyboard-response","272","501703","0.0-3.0-0.133","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2708","name-keyboard-response","273","504416","0.0-3.0-1.133","","","Probe","1038","154","0","36"
"","null","html-keyboard-response","274","505418","0.0-3.0-0.134","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1758","name-keyboard-response","275","507181","0.0-3.0-1.134","","","Probe","1056","304","2","99"
"","null","html-keyboard-response","276","508181","0.0-3.0-0.135","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1358","name-keyboard-response","277","509543","0.0-3.0-1.135","","","Probe","1051","292","2","96"
"","null","html-keyboard-response","278","510544","0.0-3.0-0.136","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","6735","name-keyboard-response","279","517288","0.0-3.0-1.136","","","Probe","1056","557","5","167"
"","null","html-keyboard-response","280","518289","0.0-3.0-0.137","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1645","name-keyboard-response","281","519939","0.0-3.0-1.137","","","Probe","1051","394","3","65"
"","null","html-keyboard-response","282","520940","0.0-3.0-0.138","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1659","name-keyboard-response","283","522615","0.0-3.0-1.138","","","Probe","1054","318","2","83"
"","null","html-keyboard-response","284","523616","0.0-3.0-0.139","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1662","name-keyboard-response","285","525281","0.0-3.0-1.139","","","Probe","1064","212","1","22"
"","null","html-keyboard-response","286","526282","0.0-3.0-0.140","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1988","name-keyboard-response","287","528273","0.0-3.0-1.140","","","Probe","1053","297","2","105"
"","null","html-keyboard-response","288","529275","0.0-3.0-0.141","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2044","name-keyboard-response","289","531335","0.0-3.0-1.141","","","Probe","1061","461","4","156"
"","null","html-keyboard-response","290","532336","0.0-3.0-0.142","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1727","name-keyboard-response","291","534080","0.0-3.0-1.142","","","Probe","1074","379","3","91"
"","null","html-keyboard-response","292","535081","0.0-3.0-0.143","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2335","name-keyboard-response","293","537422","0.0-3.0-1.143","","","Probe","1018","624","6","128"
"","null","html-keyboard-response","294","538424","0.0-3.0-0.144","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1734","name-keyboard-response","295","540161","0.0-3.0-1.144","","","Probe","1053","470","4","144"
"","null","html-keyboard-response","296","541162","0.0-3.0-0.145","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3588","name-keyboard-response","297","544759","0.0-3.0-1.145","","","Probe","1038","457","4","140"
"","null","html-keyboard-response","298","545761","0.0-3.0-0.146","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1510","name-keyboard-response","299","547274","0.0-3.0-1.146","","","Probe","1049","380","3","67"
"","null","html-keyboard-response","300","548276","0.0-3.0-0.147","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1808","name-keyboard-response","301","550087","0.0-3.0-1.147","","","Probe","1046","222","1","18"
"","null","html-keyboard-response","302","551089","0.0-3.0-0.148","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1807","name-keyboard-response","303","552900","0.0-3.0-1.148","","","Probe","1079","311","2","86"
"","null","html-keyboard-response","304","553901","0.0-3.0-0.149","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2088","name-keyboard-response","305","555994","0.0-3.0-1.149","","","Probe","1032","219","1","24"
"","null","html-keyboard-response","306","556995","0.0-3.0-0.150","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2640","name-keyboard-response","307","559651","0.0-3.0-1.150","","","Probe","1052","471","4","139"
"","null","html-keyboard-response","308","560654","0.0-3.0-0.151","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1615","name-keyboard-response","309","562283","0.0-3.0-1.151","","","Probe","1081","151","0","49"
"","null","html-keyboard-response","310","563285","0.0-3.0-0.152","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1963","name-keyboard-response","311","565253","0.0-3.0-1.152","","","Probe","1084","147","0","47"
"","null","html-keyboard-response","312","566253","0.0-3.0-0.153","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1615","name-keyboard-response","313","567873","0.0-3.0-1.153","","","Probe","1072","233","1","3"
"","null","html-keyboard-response","314","568874","0.0-3.0-0.154","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","4147","name-keyboard-response","315","573027","0.0-3.0-1.154","","","Probe","1081","388","3","80"
"","null","html-keyboard-response","316","574029","0.0-3.0-0.155","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2187","name-keyboard-response","317","576221","0.0-3.0-1.155","","","Probe","1079","135","0","60"
"","null","html-keyboard-response","318","577223","0.0-3.0-0.156","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2244","name-keyboard-response","319","579471","0.0-3.0-1.156","","","Probe","1055","218","1","0"
"","null","html-keyboard-response","320","580472","0.0-3.0-0.157","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2223","name-keyboard-response","321","582712","0.0-3.0-1.157","","","Probe","1038","311","2","94"
"","null","html-keyboard-response","322","583713","0.0-3.0-0.158","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","5350","name-keyboard-response","323","589070","0.0-3.0-1.158","","","Probe","1041","138","0","33"
"","null","html-keyboard-response","324","590072","0.0-3.0-0.159","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2579","name-keyboard-response","325","592657","0.0-3.0-1.159","","","Probe","1031","145","0","31"
"","null","html-keyboard-response","326","593657","0.0-3.0-0.160","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1672","name-keyboard-response","327","595345","0.0-3.0-1.160","","","Probe","1032","235","1","19"
"","null","html-keyboard-response","328","596346","0.0-3.0-0.161","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2616","name-keyboard-response","329","598967","0.0-3.0-1.161","","","Probe","1031","298","2","108"
"","null","html-keyboard-response","330","599968","0.0-3.0-0.162","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2762","name-keyboard-response","331","602749","0.0-3.0-1.162","","","Probe","1051","385","3","77"
"","null","html-keyboard-response","332","603751","0.0-3.0-0.163","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3393","name-keyboard-response","333","607147","0.0-3.0-1.163","","","Probe","1069","242","1","179"
"","null","html-keyboard-response","334","608148","0.0-3.0-0.164","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2244","name-keyboard-response","335","610397","0.0-3.0-1.164","","","Probe","1055","316","2","87"
"","null","html-keyboard-response","336","611398","0.0-3.0-0.165","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2731","name-keyboard-response","337","614145","0.0-3.0-1.165","","","Probe","1059","467","4","151"
"","null","html-keyboard-response","338","615146","0.0-3.0-0.166","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2097","name-keyboard-response","339","617249","0.0-3.0-1.166","","","Probe","1079","144","0","62"
"","null","html-keyboard-response","340","618250","0.0-3.0-0.167","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1873","name-keyboard-response","341","620138","0.0-3.0-1.167","","","Probe","1080","137","0","59"
"","null","html-keyboard-response","342","621139","0.0-3.0-0.168","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1920","name-keyboard-response","343","623065","0.0-3.0-1.168","","","Probe","1037","316","2","89"
"","null","html-keyboard-response","344","624066","0.0-3.0-0.169","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1479","name-keyboard-response","345","625549","0.0-3.0-1.169","","","Probe","1045","243","1","17"
"","null","html-keyboard-response","346","626551","0.0-3.0-0.170","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","3584","name-keyboard-response","347","630142","0.0-3.0-1.170","","","Probe","1034","135","0","55"
"","null","html-keyboard-response","348","631143","0.0-3.0-0.171","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2222","name-keyboard-response","349","633368","0.0-3.0-1.171","","","Probe","1087","377","3","66"
"","null","html-keyboard-response","350","634369","0.0-3.0-0.172","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","4743","name-keyboard-response","351","639122","0.0-3.0-1.172","","","Probe","1038","217","1","2"
"","null","html-keyboard-response","352","640135","0.0-3.0-0.173","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1666","name-keyboard-response","353","641805","0.0-3.0-1.173","","","Probe","1074","477","4","147"
"","null","html-keyboard-response","354","642807","0.0-3.0-0.174","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2133","name-keyboard-response","355","644945","0.0-3.0-1.174","","","Probe","1050","218","1","23"
"","null","html-keyboard-response","356","645946","0.0-3.0-0.175","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1907","name-keyboard-response","357","647858","0.0-3.0-1.175","","","Probe","1020","632","6","123"
"","null","html-keyboard-response","358","648860","0.0-3.0-0.176","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2392","name-keyboard-response","359","651257","0.0-3.0-1.176","","","Probe","1038","226","1","25"
"","null","html-keyboard-response","360","652258","0.0-3.0-0.177","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1513","name-keyboard-response","361","653775","0.0-3.0-1.177","","","Probe","1037","235","1","10"
"","null","html-keyboard-response","362","654776","0.0-3.0-0.178","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","2494","name-keyboard-response","363","657276","0.0-3.0-1.178","","","Probe","1051","158","0","29"
"","null","html-keyboard-response","364","658278","0.0-3.0-0.179","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","1660","name-keyboard-response","365","659943","0.0-3.0-1.179","","","Probe","1045","472","4","138"
"[{""page_index"":0,""viewing_time"":23447}]","23447","instructions","366","683401","0.0-4.0","","","","","","",""
